case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_death_threats,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,persecutor_government_actor,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,credibility_credibility_finding,True,The IJ concluded that Hernandez’s own testimony established this fact—Hernandez acknowledged that he was convicted of hitting his ex-wife in the face after two prior incidents where he became angry and hit her and rejected Hernandez’s attempts to minimize the severity of the conduct and harm underlying his 2016 conviction.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,89670,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,asylum_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,withholding_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,CAT_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,True,The IJ held that Nguyen had established his membership in a cognizable particular social group: known drug users.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,persecutor_government_actor,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,credibility_credibility_finding,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,6576,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,asylum_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,withholding_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,CAT_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_political_opinion,False,Not mentioned in the opinion.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_particular_social_group,True,Nguyen insisted that he feared returning to Vietnam because he is a Buddhist and a member of two proposed particular social groups.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_physical_violence,False,Not mentioned in the opinion.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_death_threats,False,Not mentioned in the opinion.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,persecutor_government_actor,True,"Nguyen asserted a fear of persecution in Vietnam, including possible placement in a compulsory drug rehabilitation center, based on his prior drug use history and criminal record.",91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,credibility_credibility_finding,False,Not mentioned in the opinion.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,deepseek-ai/deepseek-v4-flash,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,91745,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,asylum_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,withholding_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,CAT_requested,True,"Nguyen applied for cancellation of removal for certain permanent residents, pursuant to 8 U.S.C. § 1229b(a), as well as asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_political_opinion,False,Not mentioned in the opinion.,96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_particular_social_group,True,"Nguyen insisted that he feared returning to Vietnam because he is a Buddhist and a member of two proposed particular social groups. The first proposed group is comprised of 'relatives of soldiers that directly opposed the communist government,' and the second is comprised of 'known drug users.'",96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_physical_violence,False,Not mentioned in the opinion.,96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_death_threats,False,Not mentioned in the opinion.,96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,persecutor_government_actor,True,"Nguyen asserted a fear of persecution in Vietnam, including possible placement in a compulsory drug rehabilitation center, based on his prior drug use history and criminal record.",96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,credibility_credibility_finding,False,Not mentioned in the opinion.,96342,
17-72197,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,mistralai/mistral-large-3-675b-instruct-2512,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,96342,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,asylum_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,withholding_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,CAT_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,True,"Oscar refused to join the PHTK, a major political party in Haiti, and was subsequently attacked by its members.",30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,True,Oscar testified that he was punched and kicked by PHTK members.,30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,past_persecution_death_threats,True,"The men who attacked Oscar told him, '[W]e never give up. We [are] going to meet again.'",30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,persecutor_government_actor,False,Not mentioned in the opinion.,30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,credibility_credibility_finding,True,The IJ found Oscar to be not credible.,30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.3-70b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,30200,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,asylum_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,withholding_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,CAT_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_political_opinion,True,"According to Oscar, it is also a violent gang. In 2014, while Oscar still lived in Haiti, PHTK members asked Oscar to join them, because his support might be influential in his community given his popularity. Oscar refused.",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_particular_social_group,False,Not mentioned in the opinion.,78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_physical_violence,True,"The men punched and kicked Oscar, pushed his then-girlfriend (now-wife) Fabienne Lorjuste, and left only when they heard the sound of a gunshot nearby, threatening to come back 'for real.'",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_death_threats,True,"The men punched and kicked Oscar, pushed his then-girlfriend (now-wife) Fabienne Lorjuste, and left only when they heard the sound of a gunshot nearby, threatening to come back 'for real.'",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,persecutor_government_actor,False,Not mentioned in the opinion.,78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,credibility_credibility_finding,True,"As discussed in the concurrently filed memorandum disposition, the IJ found Oscar to be not credible.",78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,deepseek-ai/deepseek-v4-flash,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,78870,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,asylum_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the CAT.",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,withholding_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,CAT_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture (CAT).",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_political_opinion,True,"According to Oscar, [the PHTK] is also a violent gang. In 2014, while Oscar still lived in Haiti, PHTK members asked Oscar to join them, because his support might be influential in his community given his popularity. Oscar refused.",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_particular_social_group,False,Not mentioned in the opinion.,269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_physical_violence,True,"The men punched and kicked Oscar, pushed his then-girlfriend (now-wife) Fabienne Lorjuste, and left only when they heard the sound of a gunshot nearby, threatening to come back 'for real.' Oscar testified that he was 'not really injured,' and suffered only scratches.",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_death_threats,True,The men... threatening to come back 'for real.',269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,persecutor_government_actor,False,Not mentioned in the opinion.,269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,credibility_credibility_finding,True,"As discussed in the concurrently filed memorandum disposition, the IJ found Oscar to be not credible.",269312,
23-3858,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,mistralai/mistral-large-3-675b-instruct-2512,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,269312,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,asylum_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,withholding_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,CAT_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,True,"He argues that if he is returned to Mexico, he will be persecuted on account of his membership in a particular social group, see 8 U.S.C. §§ 1101(a)(42)(A), 1231(b)(3), consisting of “individuals who are associated with the police and law enforcement in Mexico and who are at war with criminal elements there.”",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,past_persecution_death_threats,True,"Petitioner further alleges that, since his removal proceedings in 1997, there has been “an increase in violence” and “a high level of incompetence and corruption among the law enforcement in Mexico making the state unable or unwilling to help [him].”",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,persecutor_government_actor,False,Not mentioned in the opinion.,31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,credibility_credibility_finding,False,Not mentioned in the opinion.,31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.3-70b-instruct,bars_one_year_deadline_missed,True,"In this case, petitioner’s motion to reopen was untimely by over sixteen years.",31110,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,asylum_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,withholding_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,CAT_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_political_opinion,False,Not mentioned in the opinion.,57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_particular_social_group,True,"He argues that if he is returned to Mexico, he will be persecuted on account of his membership in a particular social group, see 8 U.S.C. §§ 1101(a)(42)(A), 1231(b)(3), consisting of 'individuals who are associated with the police and law enforcement in Mexico and who are at war with criminal elements there.'",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_physical_violence,False,Not mentioned in the opinion.,57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_death_threats,True,"Petitioner claims that during these ride-alongs, he witnessed law enforcement operations against cartel members and provided assistance to the police at his brother-in-law's direction.",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,persecutor_government_actor,False,Not mentioned in the opinion.,57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,credibility_credibility_finding,False,Not mentioned in the opinion.,57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,deepseek-ai/deepseek-v4-flash,bars_one_year_deadline_missed,True,"Although his motion to reopen was untimely by over sixteen years, petitioner claimed that he was entitled to equitable tolling because he had received ineffective assistance of counsel.",57854,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,mistralai/mistral-large-3-675b-instruct-2512,asylum_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",54061,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,mistralai/mistral-large-3-675b-instruct-2512,withholding_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",54061,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,mistralai/mistral-large-3-675b-instruct-2512,CAT_requested,True,"On July 10, 2013, petitioner, now represented by a third attorney, filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",54061,
16-72752,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_political_opinion,False,Not mentioned in the opinion.,54061,
